name,type,status,original_language,genres,origin_country,number_of_seasons,number_of_episodes,episode_run_time,vote_count,vote_average,popularity,first_air_date
Years and Years,Miniseries,Ended,en,"Drama, War & Politics, Sci-Fi & Fantasy",GB,1,6,60,219,7.575,12.948,2019-05-14
Death March to the Parallel World Rhapsody,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy, Comedy, Action & Adventure",JP,1,12,25,219,7.973,16.742,2018-01-11
NCIS: Hawai'i,Scripted,Returning Series,en,"Crime, Drama",US,2,44,45,219,8.062,94.882,2021-09-20
Tru Calling,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama, Mystery",US,2,26,45,218,7.454,20.309,2003-10-30
Are You Afraid of the Dark?,Scripted,Canceled,en,Mystery,US,3,13,43,218,7.594,29.165,2019-10-11
Murdoch Mysteries,Scripted,Returning Series,en,"Mystery, Drama",CA,17,274,60,218,7.752,232.772,2008-01-24
The 10th Kingdom,Miniseries,Ended,en,"Sci-Fi & Fantasy, Comedy, Action & Adventure",US,1,5,120,218,7.619,12.782,2000-02-27
L.A.'s Finest,Scripted,Canceled,en,"Crime, Drama",US,2,26,45,218,7.245,16.019,2019-05-13
Taken,Scripted,Ended,en,"Action & Adventure, Crime",US,2,26,42,218,6.583,27.802,2017-02-27
Count Duckula,Scripted,Ended,en,"Animation, Kids, Comedy",GB,4,65,22,218,7.938,21.704,1988-09-06
Velma,Scripted,Returning Series,en,"Animation, Comedy",US,1,10,26,217,3.532,19.041,2023-01-12
Cautious Hero: The Hero Is Overpowered but Overly Cautious,Scripted,Ended,ja,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy, War & Politics",JP,1,12,24,217,8.435,22.131,2019-10-02
Fall Into Temptation,Scripted,Ended,es,"Drama, Soap",MX,1,103,45,217,7.7,77.039,2017-09-18
Beelzebub,Scripted,Ended,ja,"Animation, Comedy, Drama",JP,1,60,25,217,8.385,37.774,2011-01-09
The Devil Is a Part-Timer!,Scripted,Ended,ja,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",JP,2,37,24,217,7.588,56.305,2013-04-04
